Date,Close
9/27/2010 16:00:00,70.71
9/28/2010 16:00:00,71.25
9/29/2010 16:00:00,70.96
9/30/2010 16:00:00,70.68
10/1/2010 16:00:00,70.85
10/4/2010 16:00:00,70.56
10/5/2010 16:00:00,71.29
10/6/2010 16:00:00,71.51
10/7/2010 16:00:00,71.28
10/8/2010 16:00:00,71.48
10/11/2010 16:00:00,71.54
10/12/2010 16:00:00,71.76
10/13/2010 16:00:00,72.31
10/14/2010 16:00:00,72.41
10/15/2010 16:00:00,72.59
10/18/2010 16:00:00,72.72
10/19/2010 16:00:00,71.97
10/20/2010 16:00:00,72.49
10/21/2010 16:00:00,72.71
10/22/2010 16:00:00,72.94
10/25/2010 16:00:00,73.09
10/26/2010 16:00:00,72.76
10/27/2010 16:00:00,72.5
10/28/2010 16:00:00,72.64
10/29/2010 16:00:00,72.86
11/1/2010 16:00:00,72.77
11/2/2010 16:00:00,73.07
11/3/2010 16:00:00,73.25
11/4/2010 16:00:00,74.14
11/5/2010 16:00:00,73.9
11/8/2010 16:00:00,73.66
11/9/2010 16:00:00,73.35
11/10/2010 16:00:00,73.24
11/11/2010 16:00:00,73.17
11/12/2010 16:00:00,72.92
11/15/2010 16:00:00,72.91
11/16/2010 16:00:00,72.14
11/17/2010 16:00:00,72.13
11/18/2010 16:00:00,73.07
11/19/2010 16:00:00,73.25
11/22/2010 16:00:00,73.2
11/23/2010 16:00:00,72.46
11/24/2010 16:00:00,73.03
11/26/2010 16:00:00,72.65
11/29/2010 16:00:00,72.48
11/30/2010 16:00:00,72.17
12/1/2010 16:00:00,73.26
12/2/2010 16:00:00,73.36
12/3/2010 16:00:00,73.45
12/6/2010 16:00:00,73.31
12/7/2010 16:00:00,73.61
12/8/2010 16:00:00,73.85
12/9/2010 16:00:00,74.09
12/10/2010 16:00:00,74.2
12/13/2010 16:00:00,74.19
12/14/2010 16:00:00,74.5
12/15/2010 16:00:00,74.55
12/16/2010 16:00:00,75.19
12/17/2010 16:00:00,75.37
12/20/2010 16:00:00,75.31
12/21/2010 16:00:00,75.17
12/22/2010 16:00:00,73.54
12/23/2010 16:00:00,73.55
12/27/2010 16:00:00,73.29
12/28/2010 16:00:00,73.41
12/29/2010 16:00:00,73.42
12/30/2010 16:00:00,73.42
12/31/2010 16:00:00,73.39
1/3/2011 16:00:00,73.51
1/4/2011 16:00:00,73.2
1/5/2011 16:00:00,73.29
1/6/2011 16:00:00,73.02
1/7/2011 16:00:00,72.71
1/10/2011 16:00:00,72.71
1/11/2011 16:00:00,72.7
1/12/2011 16:00:00,73.27
1/13/2011 16:00:00,73.5
1/14/2011 16:00:00,73.52
1/18/2011 16:00:00,73.54
1/19/2011 16:00:00,73.27
1/20/2011 16:00:00,73.56
1/21/2011 16:00:00,73.59
1/24/2011 16:00:00,73.84
1/25/2011 16:00:00,73.98
1/26/2011 16:00:00,73.87
1/27/2011 16:00:00,73.23
1/28/2011 16:00:00,72.36
1/31/2011 16:00:00,72.21
2/1/2011 16:00:00,72.74
2/2/2011 16:00:00,72.43
2/3/2011 16:00:00,72.81
2/4/2011 16:00:00,73.19
2/7/2011 16:00:00,73.32
2/8/2011 16:00:00,73.67
2/9/2011 16:00:00,73.87
2/10/2011 16:00:00,73.52
2/11/2011 16:00:00,74
2/14/2011 16:00:00,73.7
2/15/2011 16:00:00,73.68
2/16/2011 16:00:00,73.92
2/17/2011 16:00:00,74.46
2/18/2011 16:00:00,74.58
2/22/2011 16:00:00,74.04
2/23/2011 16:00:00,73.81
2/24/2011 16:00:00,73.54
2/25/2011 16:00:00,73.95
2/28/2011 16:00:00,74.26
3/1/2011 16:00:00,73.8
3/2/2011 16:00:00,73.63
3/3/2011 16:00:00,74.41
3/4/2011 16:00:00,74.08
3/7/2011 16:00:00,73.79
3/8/2011 16:00:00,74.45
3/9/2011 16:00:00,74.82
3/10/2011 16:00:00,74.42
3/11/2011 16:00:00,74.49
3/14/2011 16:00:00,73.92
3/15/2011 16:00:00,73.19
3/16/2011 16:00:00,72.17
3/17/2011 16:00:00,72.62
3/18/2011 16:00:00,73.13
3/21/2011 16:00:00,74.1
3/22/2011 16:00:00,74.06
3/23/2011 16:00:00,74.3
3/24/2011 16:00:00,74.85
3/25/2011 16:00:00,74.93
3/28/2011 16:00:00,74.87
3/29/2011 16:00:00,75.23
3/30/2011 16:00:00,75.7
3/31/2011 16:00:00,75.59
4/1/2011 16:00:00,76.04
4/4/2011 16:00:00,76.17
4/5/2011 16:00:00,76.31
4/6/2011 16:00:00,76.6
4/7/2011 16:00:00,76.65
4/8/2011 16:00:00,76.41
4/11/2011 16:00:00,76.77
4/12/2011 16:00:00,76.95
4/13/2011 16:00:00,76.98
4/14/2011 16:00:00,77.45
4/15/2011 16:00:00,77.87
4/18/2011 16:00:00,77.33
4/19/2011 16:00:00,77.49
4/20/2011 16:00:00,77.92
4/21/2011 16:00:00,77.95
4/25/2011 16:00:00,77.68
4/26/2011 16:00:00,78.25
4/27/2011 16:00:00,78.76
4/28/2011 16:00:00,79.31
4/29/2011 16:00:00,79.57
5/2/2011 16:00:00,79.62
5/3/2011 16:00:00,79.82
5/4/2011 16:00:00,79.8
5/5/2011 16:00:00,79.21
5/6/2011 16:00:00,79.42
5/9/2011 16:00:00,79.71
5/10/2011 16:00:00,80.24
5/11/2011 16:00:00,80.13
5/12/2011 16:00:00,81.21
5/13/2011 16:00:00,81.13
5/16/2011 16:00:00,81.05
5/17/2011 16:00:00,81.25
5/18/2011 16:00:00,81.49
5/19/2011 16:00:00,81.85
5/20/2011 16:00:00,81.59
5/23/2011 16:00:00,81.04
5/24/2011 16:00:00,80.97
5/25/2011 16:00:00,80.47
5/26/2011 16:00:00,80.63
5/27/2011 16:00:00,80.97
5/31/2011 16:00:00,81.72
6/1/2011 16:00:00,80.84
6/2/2011 16:00:00,79.99
6/3/2011 16:00:00,79.16
6/6/2011 16:00:00,78.7
6/7/2011 16:00:00,78.55
6/8/2011 16:00:00,78.5
6/9/2011 16:00:00,78.97
6/10/2011 16:00:00,78.04
6/13/2011 16:00:00,78.39
6/14/2011 16:00:00,79.25
6/15/2011 16:00:00,78.16
6/16/2011 16:00:00,78.75
6/17/2011 16:00:00,79.18
6/20/2011 16:00:00,79.76
6/21/2011 16:00:00,79.87
6/22/2011 16:00:00,79.36
6/23/2011 16:00:00,78.57
6/24/2011 16:00:00,78.1
6/27/2011 16:00:00,78.47
6/28/2011 16:00:00,78.88
6/29/2011 16:00:00,79.25
6/30/2011 16:00:00,79.92
7/1/2011 16:00:00,80.47
7/5/2011 16:00:00,80.46
7/6/2011 16:00:00,80.94
7/7/2011 16:00:00,81.47
7/8/2011 16:00:00,81.24
7/11/2011 16:00:00,80.56
7/12/2011 16:00:00,80.35
7/13/2011 16:00:00,80.42
7/14/2011 16:00:00,80
7/15/2011 16:00:00,80.16
7/18/2011 16:00:00,79.65
7/19/2011 16:00:00,80.92
7/20/2011 16:00:00,80.72
7/21/2011 16:00:00,81.26
7/22/2011 16:00:00,81.14
7/25/2011 16:00:00,80.31
7/26/2011 16:00:00,80.14
7/27/2011 16:00:00,79.15
7/28/2011 16:00:00,79.22
7/29/2011 16:00:00,78.77
8/1/2011 16:00:00,78.54
8/2/2011 16:00:00,77.56
8/3/2011 16:00:00,78.05
8/4/2011 16:00:00,75.43
8/5/2011 16:00:00,76.55
8/8/2011 16:00:00,73.38
8/9/2011 16:00:00,75.2
8/10/2011 16:00:00,72.71
8/11/2011 16:00:00,74.79
8/12/2011 16:00:00,75.59
8/15/2011 16:00:00,76.61
8/16/2011 16:00:00,76.7
8/17/2011 16:00:00,77.2
8/18/2011 16:00:00,75.68
8/19/2011 16:00:00,75.05
8/22/2011 16:00:00,75.28
8/23/2011 16:00:00,77.01
8/24/2011 16:00:00,77.5
8/25/2011 16:00:00,76.31
8/26/2011 16:00:00,76.99
8/29/2011 16:00:00,78.48
8/30/2011 16:00:00,78.75
8/31/2011 16:00:00,78.95
9/1/2011 16:00:00,78.62
9/2/2011 16:00:00,77.45
9/6/2011 16:00:00,77.19
9/7/2011 16:00:00,78.54
9/8/2011 16:00:00,78.31
9/9/2011 16:00:00,76.61
